hotel_id,hotel_name,hotel_brand,sub_brand,hotel_code,image,hotel_address,hotel_zipcode,hotel_city,hotel_province,hotel_country,hotel_longitude,hotel_latitude,hotel_status
2287,Hampton Inn Albertville,Hilton,HP,BHMAVHX,https://www.hilton.com/im/en/BHMAVHX/19115987/bhmavhx-breakfast-seating.jpg?impolicy=crop&cw=4500&ch=2992&gravity=NorthWest&xposition=0&yposition=3&rw=200&rh=133,210 Alabama Highway 75 N,35951,Albertville,Alabama,USA,-86.202367,34.277306,Open
2288,Hampton Inn Guntersville,Hilton,HP,GVEALHX,https://www.hilton.com/im/en/GVEALHX/4259945/exterior-with-fountain.jpg?impolicy=crop&cw=3888&ch=2592&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,14451 U.S. Highway 431 South,35976,Guntersville,Alabama,USA,-86.3144330455,34.3229586536,Open
2289,Hampton Inn Gadsden/Attalla I-59,Hilton,HP,GADATHX,https://www.hilton.com/im/en/GADATHX/2883897/front-desk-gadsen.jpg?impolicy=crop&cw=4511&ch=3000&gravity=NorthWest&xposition=19&yposition=0&rw=200&rh=133,206 Walker Street,35904,Gadsden,Alabama,USA,-86.0891,33.9985,Open
2290,Hampton Inn Gadsden,Hilton,HP,GADALHX,https://www.hilton.com/im/en/GADALHX/19213195/gadal-exterior-01.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=0&rw=200&rh=133,129 River Road,35901,Gadsden,Alabama,USA,-86.004184,33.997432,Open
2291,Hampton Inn Fort Payne,Hilton,HP,FPAALHX,https://www.hilton.com/im/en/FPAALHX/9627781/hampton-inn-fort-payne-al-4565.jpg?impolicy=crop&cw=4908&ch=3264&gravity=NorthWest&xposition=9&yposition=0&rw=200&rh=133,1201 Jordan Road Southwest,35968,Fort Payne,Alabama,USA,-85.7524668616,34.4354105615,Open
2292,Hampton Inn & Suites Scottsboro,Hilton,HP,HSVSBHX,https://www.hilton.com/im/en/HSVSBHX/10870632/2016-exterior-dusk-.jpg?impolicy=crop&cw=5612&ch=3732&gravity=NorthWest&xposition=664&yposition=0&rw=200&rh=133,24747 John T. Reid Parkway,35768,Scottsboro,Alabama,USA,-86.006454,34.667078,Open
2293,Hampton Inn & Suites Huntsville Hampton Cove,Hilton,HP,HSVHCHX,https://www.hilton.com/im/en/HSVHCHX/10575100/knp-hamptoninn-019.jpg?impolicy=crop&cw=4500&ch=2992&gravity=NorthWest&xposition=0&yposition=3&rw=200&rh=133,6205 Hwy 431 South,35763,Huntsville,Alabama,USA,-86.4916,34.6748,Open
2294,DoubleTree Suites by Hilton Hotel Huntsville South,Hilton,DT,HSVMPDT,https://www.hilton.com/im/en/HSVMPDT/374592/hsvmpdt-image-1-hsvmp-signage.jpg?impolicy=crop&cw=2451&ch=1629&gravity=NorthWest&xposition=0&yposition=147&rw=200&rh=133,6000 Memorial Parkway SW,35802,Huntsville,Alabama,USA,-86.573707,34.669846,Open
2295,Hampton Inn Huntsville-Arsenal/South Pkway,Hilton,HP,HSVALHX,https://www.hilton.com/im/en/HSVALHX/17913516/dsc-6583-4-5.jpg?impolicy=crop&cw=5000&ch=3333&gravity=NorthWest&xposition=0&yposition=-1&rw=300&rh=200,501 Boulevard South SW,35802,Huntsville,Alabama,USA,-86.5758893897,34.6702327619,Open
2296,Hilton Garden Inn Huntsville South/Redstone Arsenal,Hilton,GI,HSVSOGI,https://www.hilton.com/im/en/HSVSOGI/2254348/kna-al-hut-hgi-ext-day.jpg?impolicy=crop&cw=5568&ch=3702&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,301 Boulevard South SW,35802,Huntsville,Alabama,USA,-86.5784,34.6699,Open
2297,Hampton Inn Alexander City,Hilton,HP,MGMACHX,https://www.hilton.com/im/en/MGMACHX/10606117/alex-city-104-1.jpg?impolicy=crop&cw=4795&ch=3196&gravity=NorthWest&xposition=0&yposition=1&rw=300&rh=200,1551 Elkahatchee Road,35010,Alexander City,Alabama,USA,-85.966271,32.927516,Open
2298,Hampton Inn Wetumpka,Hilton,HP,MGMWAHX,https://www.hilton.com/im/en/MGMWAHX/9043804/exterior-day.jpg?impolicy=crop&cw=5850&ch=3890&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,350 South Main Street,36092,Wetumpka,Alabama,USA,-86.2062737248,32.5339548168,Open
2299,Hampton Inn Auburn,Hilton,HP,AUBALHX,https://www.hilton.com/im/en/AUBALHX/11456775/exterior-dusk.jpg?impolicy=crop&cw=4600&ch=3059&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,2430 S. College St.,36832,Auburn,Alabama,USA,-85.508121105,32.5562038476,Open
2300,Tru by Hilton Auburn,Hilton,RU,CSGAARU,https://www.hilton.com/im/en/CSGAARU/6409704/tru-by-hilton-auburn-night-exterior-1.jpg?impolicy=crop&cw=4170&ch=3720&gravity=NorthWest&xposition=723&yposition=12&rw=139&rh=124,2411 W Pace Blvd,36830,Auburn,Alabama,USA,-85.504545457,32.5576048817,Open
2301,Hilton Garden Inn Auburn/Opelika,Hilton,GI,AUOAPGI,https://www.hilton.com/im/en/AUOAPGI/406027/auoapgi-exterior-dusk.tiff?impolicy=crop&cw=4586&ch=3050&gravity=NorthWest&xposition=456&yposition=0&rw=200&rh=133,2555 Hilton Garden Drive,36830,Auburn,Alabama,USA,-85.4314,32.6067,Open
2302,Hampton Inn & Suites Opelika - I-85 - Auburn Area,Hilton,HP,AUOOPHX,https://www.hilton.com/im/en/AUOOPHX/16330927/auoophx-hampton-inn-suites-opelika-al-exterior-day.jpg?impolicy=crop&cw=4503&ch=2994&gravity=NorthWest&xposition=0&yposition=2&rw=200&rh=133,3000 Capps Way,36804,Opelika,Alabama,USA,-85.4008,32.6148,Open
2303,Home2 Suites by Hilton Opelika Auburn,Hilton,HT,AUOOAHT,https://www.hilton.com/im/en/AUOOAHT/1028611/-dsc8076-7-8.jpg?impolicy=crop&cw=4600&ch=3059&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,3150 Capps Way,36801,Opelika,Alabama,USA,-85.4000158416,32.6124110263,Open
2304,Hampton Inn & Suites Prattville,Hilton,HP,MGMCFHX,https://www.hilton.com/im/en/MGMCFHX/8560566/mgmcf-exterior-01.jpg?impolicy=crop&cw=6000&ch=4000&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,2590 Cobbs Ford Road,36066,Prattville,Alabama,USA,-86.390495,32.460173,Open
2305,Tru by Hilton Prattville,Hilton,RU,MGMPARU,https://www.hilton.com/im/en/MGMPARU/14455167/tru-prattville-day-exterior.jpg?impolicy=crop&cw=5616&ch=3734&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,2633 Legends Parkway,36066,Prattville,Alabama,USA,-86.401724,32.458362,Open
2306,Hampton Inn & Suites Athens-I-65 (Huntsville Area),Hilton,HP,DCUATHX,https://www.hilton.com/im/en/DCUATHX/5049541/kna-al-ath-his-ext-day.jpg?impolicy=crop&cw=5568&ch=3702&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,1222 Kelli Drive,35613,Athens,Alabama,USA,-86.93711,34.780979,Open
2307,Home2 Suites by Hilton Decatur Ingalls Harbor,Hilton,HT,DCUWSHT,https://www.hilton.com/im/en/DCUWSHT/3595442/-dsc4020-1-2.jpg?impolicy=crop&cw=4600&ch=3059&gravity=NorthWest&xposition=0&yposition=5&rw=200&rh=133,807 Island Way NW,35601,Decatur,Alabama,USA,-86.992566332,34.623030096,Open
2308,DoubleTree by Hilton Hotel Decatur Riverfront,Hilton,DT,DCUSADT,https://www.hilton.com/im/en/DCUSADT/373821/dcusadt-doubletree-by-hilton-hotel-decatur-riverfront-hotel-lobby.jpg?impolicy=crop&cw=4500&ch=3000&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,1101 6th Avenue NE,35601,Decatur,Alabama,USA,-86.9775,34.6106,Open
2309,Hampton Inn Madison Huntsville Airport,Hilton,HP,HSVMSHX,https://www.hilton.com/im/en/HSVMSHX/2978762/outside-patio-2.jpg?impolicy=crop&cw=4499&ch=2991&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,9225 Madison Blvd.,35758,Madison,Alabama,USA,-86.759303,34.673254,Open
2310,Hilton Garden Inn Madison Huntsville Airport,Hilton,GI,HSVAPGI,https://www.hilton.com/im/en/HSVAPGI/16528656/dsc-9171-2-3.jpg?impolicy=crop&cw=4600&ch=3066&gravity=NorthWest&xposition=0&yposition=16&rw=300&rh=200,145 Graphics Dr,35758,Madison,Alabama,USA,-86.750633,34.671539,Open
2311,Home2 Suites by Hilton Madison Huntsville Airport,Hilton,HT,HSVMHHT,https://www.hilton.com/im/en/HSVMHHT/10956738/outside-1-.jpg?impolicy=crop&cw=4600&ch=3059&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,135 Graphics Drive,35758,Madison,Alabama,USA,-86.751387,34.670682,Open
2312,Homewood Suites by Hilton Huntsville-Village of Providence,Hilton,HW,HSVHWHW,https://www.hilton.com/im/en/HSVHWHW/1239727/ahr-3789-095.jpg?impolicy=crop&cw=5616&ch=3734&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,15 Town Center Drive,35806,Huntsville,Alabama,USA,-86.694016,34.75436,Open
2313,Home2 Suites by Hilton Huntsville Village of Providence,Hilton,HT,HSVVPHT,https://www.hilton.com/im/en/NoHotel/7960223/h2-olvclht-businesswomanstudiosuite1-propped-brand-shoot.tif?impolicy=crop&cw=5000&ch=3333&gravity=NorthWest&xposition=0&yposition=-1&rw=300&rh=200,315 Providence Main Street,35806,Huntsville,Alabama,USA,-86.693571,34.751497,
